Sample	Replicate	Genotype	Treatment	Section of Root	D_M_WW	S_n	rep_n	combined	Groups	treatment_section	Color_grp	genotype_color	section_color
BBW3	2	B73	Well-watered	3	WW	S3	rep2	B73_WW_S3_rep2	B73_WW_S3	WW_S3	red	#B1ABD5	green
BBW4	2	B73	Well-watered	4	WW	S4	rep2	B73_WW_S4_rep2	B73_WW_S4	WW_S4	red	#BEBADC	blue
BBW5	2	B73	Well-watered	5	WW	S5	rep2	B73_WW_S5_rep2	B73_WW_S5	WW_S5	red	#CECBE5	violet
BFD1	2	FR697	Dry	1	D	S1	rep2	FR697_D_S1_rep2	FR697_D_S1	D_S1	green	#D4E3C4	red
BFD2	2	FR697	Dry	2	D	S2	rep2	FR697_D_S2_rep2	FR697_D_S2	D_S2	green	#CCF5AC	yellow
BFD3	2	FR697	Dry	3	D	S3	rep2	FR697_D_S3_rep2	FR697_D_S3	D_S3	green	#99B981	green
BFD4	2	FR697	Dry	4	D	S4	rep2	FR697_D_S4_rep2	FR697_D_S4	D_S4	green	#7E996A	blue
BFD5	2	FR697	Dry	5	D	S5	rep2	FR697_D_S5_rep2	FR697_D_S5	D_S5	green	#697E57	violet
BFM1	2	FR697	Moderate	1	M	S1	rep2	FR697_M_S1_rep2	FR697_M_S1	M_S1	green	#D4E3C4	red
BFM2	2	FR697	Moderate	2	M	S2	rep2	FR697_M_S2_rep2	FR697_M_S2	M_S2	green	#CCF5AC	yellow
BFM3	2	FR697	Moderate	3	M	S3	rep2	FR697_M_S3_rep2	FR697_M_S3	M_S3	green	#99B981	green
BFM4	2	FR697	Moderate	4	M	S4	rep2	FR697_M_S4_rep2	FR697_M_S4	M_S4	green	#7E996A	blue
BFM5	2	FR697	Moderate	5	M	S5	rep2	FR697_M_S5_rep2	FR697_M_S5	M_S5	green	#697E57	violet
BFW1	2	FR697	Well-watered	1	WW	S1	rep2	FR697_WW_S1_rep2	FR697_WW_S1	WW_S1	green	#D4E3C4	red
BFW2	2	FR697	Well-watered	2	WW	S2	rep2	FR697_WW_S2_rep2	FR697_WW_S2	WW_S2	green	#CCF5AC	yellow
BFW3	2	FR697	Well-watered	3	WW	S3	rep2	FR697_WW_S3_rep2	FR697_WW_S3	WW_S3	green	#99B981	green
BFW4	2	FR697	Well-watered	4	WW	S4	rep2	FR697_WW_S4_rep2	FR697_WW_S4	WW_S4	green	#7E996A	blue
BFW5	2	FR697	Well-watered	5	WW	S5	rep2	FR697_WW_S5_rep2	FR697_WW_S5	WW_S5	green	#697E57	violet
CBD1	3	B73	Dry	1	D	S1	rep3	B73_D_S1_rep3	B73_D_S1	D_S1	red	#7A6F9B	red
CBD2	3	B73	Dry	2	D	S2	rep3	B73_D_S2_rep3	B73_D_S2	D_S2	red	#8983BD	yellow
CBD3	3	B73	Dry	3	D	S3	rep3	B73_D_S3_rep3	B73_D_S3	D_S3	red	#B1ABD5	green
